,Unnamed: 0,#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",TotÂ Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop
8,8,1.0,USA,105393864,1146728.0,102848904.0,1398232.0,2726.0,314792.0,3425.0,1167633439.0,3487500.0,334805269.0,North America,3.0,292.0,0.0,4.0
10,10,3.0,France,39638159,165030.0,39399753.0,73376.0,869.0,604383.0,2516.0,271490188.0,4139547.0,65584518.0,Europe,2.0,397.0,0.0,61.0
13,13,6.0,Japan,33251497,72721.0,21692695.0,11486081.0,131.0,264773.0,579.0,95589075.0,761151.0,125584838.0,Asia,4.0,1727.0,1.0,83.0
14,14,7.0,S. Korea,30555102,34020.0,30350687.0,170395.0,143.0,595269.0,663.0,15804065.0,307892.0,51329899.0,Asia,2.0,1509.0,3.0,217.0
20,20,13.0,Vietnam,11526962,43186.0,10614788.0,868988.0,3.0,116489.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,0.1
28,28,21.0,Poland,6431888,118952.0,5335940.0,976996.0,696.0,170427.0,3152.0,38306928.0,1015028.0,37739785.0,Europe,6.0,317.0,1.0,82.0
30,30,23.0,Austria,5936666,21921.0,5854585.0,60160.0,72.0,654776.0,2418.0,211273524.0,23302116.0,9066710.0,Europe,2.0,414.0,0.0,560.0
34,34,27.0,Chile,5177770,64222.0,5101501.0,12047.0,83.0,268972.0,3336.0,48501621.0,2519539.0,19250195.0,South America,4.0,300.0,0.0,146.0
35,35,28.0,Malaysia,5043626,36965.0,4997422.0,9239.0,4.0,152003.0,1114.0,68255672.0,2057067.0,33181072.0,Asia,7.0,898.0,0.0,5.0
36,36,29.0,Israel,4801230,12303.0,4781252.0,7675.0,57.0,514822.0,1319.0,41373364.0,4436346.0,9326000.0,Asia,2.0,758.0,0.0,34.0
40,40,33.0,Czechia,4613882,42464.0,4561632.0,9786.0,45.0,429727.0,3955.0,57017713.0,5310502.0,10736784.0,Europe,2.0,253.0,0.0,91.0
42,42,35.0,Peru,4486665,219485.0,4265173.0,2007.0,34.0,133198.0,6516.0,38078495.0,1130455.0,33684208.0,South America,8.0,153.0,1.0,6.0
44,44,37.0,Philippines,4076866,66143.0,4001665.0,9058.0,162.0,36236.0,588.0,34629611.0,307794.0,112508994.0,Asia,28.0,1701.0,3.0,2.0
47,47,40.0,Denmark,3175474,8277.0,3166219.0,978.0,19.0,544216.0,1419.0,129201848.0,22142752.0,5834950.0,Europe,2.0,705.0,0.0,12.0
48,48,41.0,Hong Kong,2883655,13462.0,2855882.0,14311.0,28.0,379214.0,1770.0,76127725.0,10011143.0,7604299.0,Asia,3.0,565.0,0.0,6.0
50,50,43.0,Serbia,2495808,17847.0,2463552.0,14409.0,10.0,288432.0,2063.0,12428148.0,1436279.0,8653016.0,Europe,3.0,485.0,1.0,72.0
56,56,49.0,Slovakia,1863377,21030.0,1841083.0,1264.0,20.0,341266.0,3852.0,7405734.0,1356314.0,5460193.0,Europe,3.0,260.0,1.0,25.0
60,60,53.0,Pakistan,1577119,30643.0,1538689.0,7787.0,7.0,6872.0,134.0,30570862.0,133213.0,229488994.0,Asia,146.0,7489.0,8.0,0.2
64,64,57.0,Slovenia,1329775,7074.0,1318364.0,4337.0,8.0,639920.0,3404.0,2839092.0,1366239.0,2078034.0,Europe,2.0,294.0,1.0,187.0
65,65,58.0,Lithuania,1306273,9594.0,1290412.0,6267.0,7.0,490765.0,3604.0,10381848.0,3900446.0,2661708.0,Europe,2.0,277.0,0.0,131.0
67,67,60.0,Morocco,1272486,16296.0,1256124.0,66.0,3.0,33688.0,431.0,12989908.0,343896.0,37772756.0,Africa,30.0,2318.0,3.0,0.2
74,74,67.0,Cuba,1112622,8530.0,1104004.0,88.0,2.0,98413.0,754.0,14319601.0,1266588.0,11305652.0,North America,10.0,1325.0,1.0,0.8
83,83,76.0,Saudi Arabia,829688,9617.0,816858.0,3213.0,31.0,23147.0,268.0,45151519.0,1259635.0,35844909.0,Asia,43.0,3727.0,1.0,2.0
86,86,79.0,Bahrain,708768,1552.0,706013.0,1203.0,4.0,397295.0,870.0,10743440.0,6022165.0,1783983.0,Asia,3.0,1149.0,0.0,132.0
98,98,91.0,Ethiopia,500039,7572.0,487293.0,5174.0,1.0,4139.0,63.0,5493115.0,45468.0,120812698.0,Africa,242.0,15955.0,22.0,0.07
111,111,104.0,Montenegro,288552,2805.0,285130.0,617.0,6.0,459514.0,4467.0,2720118.0,4331743.0,627950.0,Europe,2.0,224.0,0.0,99.0
120,120,113.0,Afghanistan,209369,7896.0,191176.0,10297.0,45.0,5137.0,194.0,1202018.0,29494.0,40754388.0,Asia,195.0,5161.0,34.0,0.07
